,name,sex,date_of_birth,email_address,,geography,postcode,ethnic_group,nationality,highest_level_of_qualifications,employment_status,industry,occupation,,,,,,,,,,,,
3020,Janice Singh,female,01-09-1964,singh.janice1964@0ee15.hotmail.co.uk,,South West,SP8 5ND,White,United Kingdom,Level 4 or above,Employee: Full-time,Q. Human health & social work activities,2. Professional occupations,,,,,,,,,,,,
3021,Lesley Adams,female,03-09-1982,lesley.a82@5f4ec.hotmail.com,,London,SW19 6EF,White,United Kingdom,No qualifications,Employee: Full-time,"G. Wholesale, retail & repair of motor vehicles",7. Sales and customer service occupations,,,,,,,,,,,,
3022,Sara Henderson,female,14-02-1995,henderson-sara7619@83405.hunt.com,,Wales,NP26 5LG,White,United Kingdom,Level 3,Employee: Full-time,Q. Human health & social work activities,"1. Managers, directors and senior officials",,,,,,,,,,,,
3023,Jonathan Pickering,male,07-01-1931,jonathan-pickering@5463d.gmail.com,,East,IP2 0PW,White,United Kingdom,Level 3,Retired,Other,Other,,,,,,,,,,,,
3024,Connor Gough,male,05-09-2004,gconnor04@bbc66.anderson-johnson.net,,West Midlands,B37 6DZ,White,United Kingdom,No qualifications,Full-time student,Other,Other,,,,,,,,,,,,
3025,Clifford Turner,male,20-12-2008,cliffordturner08@e2ed2.yates.com,,North West,BL3 6PN,White,United Kingdom,No qualifications,Full-time student,Other,Other,,,,,,,,,,,,
3026,Shirley Lewis,female,19-01-1932,shirley.lewis32@da084.rees.com,,West Midlands,DY1 2RS,White,United Kingdom,Level 4 or above,Retired,Other,Other,,,,,,,,,,,,
3027,Margaret Rowley,female,23-04-1963,rowleymargaret1963@112cd.brown.biz,,East Midlands,PE21 9JE,White,United Kingdom,Level 2,Employee: Full-time,Q. Human health & social work activities,2. Professional occupations,,,,,,,,,,,,
3028,Yvonne Williams,female,29-01-1994,williams-y@3a7d1.gmail.com,,London,N6 4BQ,Asian / Asian British: Indian,United Kingdom,Level 3,Employee: Full-time,"G. Wholesale, retail & repair of motor vehicles",7. Sales and customer service occupations,,,,,,,,,,,,
3029,Jayne Carroll,female,24-12-2015,j.carroll6687@6d305.yahoo.com,,East,CM22 7JF,White,United Kingdom,No qualifications,Full-time student,Other,Other,,,,,,,,,,,,
3030,Mohammad Hall,male,15-06-1958,hall-m6891@7f605.yahoo.co.uk,,East Midlands,LE2 4GH,White,United Kingdom,Level 1,Employee: Full-time,"G. Wholesale, retail & repair of motor vehicles",4. Administrative and secretarial occupations,,,,,,,,,,,,
3031,Stephanie Buckley,female,05-11-1949,s-buckley49@875ae.gmail.com,,South East,RG14 9SQ,White,United Kingdom,Other qualifications,Retired,Other,Other,,,,,,,,,,,,
3032,Graham Miller,male,14-04-1988,millerg88@21f34.houghton-griffin.com,,South East,MK19 7DT,White,United Kingdom,No qualifications,Employee: Full-time,F. Construction,5. Skilled trades occupations,,,,,,,,,,,,
3033,Richard Stevenson,male,26-01-1984,stevenson.r1984@9ae57.wright.com,,West Midlands,ST7 1NE,White,United Kingdom,Level 3,Employee: Full-time,"BDE. Mining, energy and water supply",4. Administrative and secretarial occupations,,,,,,,,,,,,
3034,Kayleigh Grant,female,16-08-1971,kayleighgrant@10745.booth.com,,Yorkshire and The Humber,HG5 0TL,White,United Kingdom,Level 3,Employee: Part-time,Q. Human health & social work activities,9. Elementary occupations,,,,,,,,,,,,
3035,Anna Carter,female,07-07-2007,carteranna9927@c6148.robinson-sullivan.co.uk,,South West,BS8 3RZ,White,United Kingdom,No qualifications,Full-time student,Other,Other,,,,,,,,,,,,
3036,Jason Pugh,male,13-11-1966,p.jason1966@90e3d.garner.com,,West Midlands,WV10 9PX,White,United Kingdom,Level 1,Unemployed,Other,Other,,,,,,,,,,,,
3037,Sean Randall,male,11-11-1995,randall.sean95@b3153.outlook.com,,West Midlands,WV11 3JF,White,United Kingdom,Level 4 or above,Employee: Full-time,O. Public admin & defence; social security,9. Elementary occupations,,,,,,,,,,,,
3038,Laura Mann,female,23-10-2021,mlaura9132@f03b0.sullivan-fisher.com,,West Midlands,WS11 5AB,White,United Kingdom,No qualifications,Other,Other,Other,,,,,,,,,,,,
3039,Shannon Harvey,female,09-11-1977,shannon.h77@c417c.hotmail.com,,Scotland,ML3 7LG,Asian / Asian British: Chinese,United Kingdom,Level 2,Other,Other,Other,,,,,,,,,,,,
3040,Stuart Williamson,male,01-08-2012,williamson-s12@910ac.mills-morgan.com,,South East,RG4 6DD,White,Hungary,No qualifications,Full-time student,Other,Other,,,,,,,,,,,,
3041,Keith Winter,male,09-08-1968,keithwinter@b7b53.hotmail.com,,London,SW6 4LP,Mixed / Multiple ethnic group,United Kingdom,Level 1,Employee: Part-time,O. Public admin & defence; social security,5. Skilled trades occupations,,,,,,,,,,,,
3042,Beth Glover,female,13-08-2001,beth-g01@55bc6.yahoo.co.uk,,South East,BN2 7FS,White,United Kingdom,No qualifications,Full-time student,Other,Other,,,,,,,,,,,,
3043,Garry Clayton,male,04-07-1990,g.clayton8791@402f7.preston.com,,London,NW1W 9HJ,White,United Kingdom,No qualifications,Employee: Full-time,RST. Other services,3. Associate professional and technical occupat...,,,,,,,,,,,,
3044,Leslie Webster,male,30-07-2020,webster-l30@3920e.simpson-metcalfe.info,,East,SS0 8DZ,White,United Kingdom,No qualifications,Other,Other,Other,,,,,,,,,,,,
3045,Susan Phillips,female,29-03-1989,phillips-susan@2da86.hotmail.co.uk,,London,E14 7UR,White,United Kingdom,Level 4 or above,Other,Other,Other,,,,,,,,,,,,
3046,Bruce Robson,male,13-04-2017,r-bruce7812@68502.wall-herbert.info,,South West,TQ12 5ZD,White,United Kingdom,No qualifications,Other,Other,Other,,,,,,,,,,,,
3047,Carole Gregory,female,01-04-1959,c-gregory1959@b0508.yahoo.com,,North West,PR4 1YN,White,United Kingdom,No qualifications,Employee: Part-time,O. Public admin & defence; social security,4. Administrative and secretarial occupations,,,,,,,,,,,,
3048,Sean Hutchinson,male,05-09-2004,hsean@ee83e.gmail.com,,East Midlands,CV13 0HP,Asian / Asian British: Chinese,United Kingdom,No qualifications,Full-time student,Other,Other,,,,,,,,,,,,
3049,Andrea Miller,female,20-10-1968,andreamiller@bac26.robinson.com,,South West,GL54 5YR,White,United Kingdom,Level 2,Self-employed,"M. Professional, scientific & technical activities",7. Sales and customer service occupations,,,,,,,,,,,,
3050,Marcus Cross,male,29-12-1994,cross-marcus1994@12a22.marsh.com,,South East,DA11 7EQ,White,United Kingdom,No qualifications,Employee: Full-time,L. Real estate activities,2. Professional occupations,,,,,,,,,,,,
3051,Iain Martin,male,06-11-1963,martin_iain2856@02214.daniels-lord.com,,Scotland,EH47 9HX,White,United Kingdom,Level 1,Employee: Full-time,Q. Human health & social work activities,8. Process plant and machine operatives,,,,,,,,,,,,
3052,Irene Curtis,female,15-10-1968,irene_curtis@7bc20.anderson.com,,West Midlands,B71 4HD,White,United Kingdom,Other qualifications,Self-employed,Q. Human health & social work activities,5. Skilled trades occupations,,,,,,,,,,,,
3053,Guy Brown,male,03-11-1954,guy-b4520@8bf46.davis.org,,North East,DL5 5AH,White,United Kingdom,Level 2,Retired,Other,Other,,,,,,,,,,,,
3054,Gerald Lowe,male,19-10-1965,gerald-l1924@d7125.outlook.com,,North West,OL2 6RE,White,United Kingdom,No qualifications,Employee: Part-time,J. Information & communication,7. Sales and customer service occupations,,,,,,,,,,,,
3055,James Ford,male,27-02-1965,j_ford1965@7af99.hotmail.com,,East Midlands,DN10 4EJ,White,United Kingdom,Level 1,Other,Other,Other,,,,,,,,,,,,
3056,Joan Howard,female,18-09-1974,joan_h@cd537.griffin.info,,South West,EX2 8JS,White,United Kingdom,No qualifications,Employee: Full-time,"G. Wholesale, retail & repair of motor vehicles",9. Elementary occupations,,,,,,,,,,,,
3057,Christopher Spencer,male,30-06-1998,christopher-s1998@b6833.wood.com,,East,SG8 7SY,White,United Kingdom,Level 4 or above,Employee: Full-time,Q. Human health & social work activities,4. Administrative and secretarial occupations,,,,,,,,,,,,
3058,Kenneth Wilkins,male,03-04-1999,kenneth_wilkins1999@435c8.roberts.info,,London,IG8 0TY,Black / African / Caribbean / Black British,United Kingdom,Level 2,Employee: Full-time,F. Construction,7. Sales and customer service occupations,,,,,,,,,,,,
3059,Owen Cooper,male,17-08-2008,ocooper2008@36ffd.gmail.com,,North West,BB4 5QN,White,United Kingdom,No qualifications,Full-time student,Other,Other,,,,,,,,,,,,
3060,Jessica Harding,female,19-07-1935,hjessica@1877f.lamb.com,,Northern Ireland,BT40 3SE,White,United Kingdom,Level 4 or above,Retired,Other,Other,,,,,,,,,,,,
3061,Hazel Ali,female,20-08-1940,hazel-ali9385@1ed6e.yahoo.co.uk,,North West,SK14 1JU,White,United Kingdom,Level 2,Retired,Other,Other,,,,,,,,,,,,
3062,Brandon Brown,male,04-10-1975,brandon_brown@2c1b7.yahoo.com,,South East,ME13 8SP,White,United Kingdom,Level 4 or above,Other,Other,Other,,,,,,,,,,,,
3063,Albert Hughes,male,02-03-1998,h_albert8260@162a2.gmail.com,,London,SE15 2SL,Asian / Asian British: Bangladeshi,United Kingdom,Other qualifications,Self-employed,"G. Wholesale, retail & repair of motor vehicles",4. Administrative and secretarial occupations,,,,,,,,,,,,
3064,Jasmine Shah,female,30-12-1947,jasmine_s9024@5a73d.yahoo.com,,Yorkshire and The Humber,HU10 7PG,White,Pakistan,No qualifications,Retired,Other,Other,,,,,,,,,,,,
3065,Abdul Roberts,male,11-03-1964,abdulroberts64@7ffaf.harrison-pickering.info,,South East,SL1 2QL,White,Jamaica,Level 4 or above,Self-employed,"G. Wholesale, retail & repair of motor vehicles",4. Administrative and secretarial occupations,,,,,,,,,,,,
3066,Alice Wells,female,14-09-1992,w-alice3229@92ef4.watson.com,,West Midlands,DE13 9DR,White,Pakistan,Level 4 or above,Employee: Part-time,"M. Professional, scientific & technical activities","6. Caring, leisure and other service occupations",,,,,,,,,,,,
3067,Derek Baker,male,03-06-1979,derek-baker9099@17c3f.baker-whitehead.info,,East,SS9 4TQ,White,United Kingdom,No qualifications,Employee: Full-time,C. Manufacturing,3. Associate professional and technical occupat...,,,,,,,,,,,,
3068,Lisa Ashton,female,07-06-1951,ashton.lisa51@5eb7e.wilson.org,,Scotland,IV30 5WX,White,United Kingdom,Level 2,Retired,Other,Other,,,,,,,,,,,,
3069,Anna Ward,female,24-06-1979,wanna79@7fdc1.thomas.org,,Wales,CF33 4RY,White,United Kingdom,Level 1,Employee: Part-time,RST. Other services,9. Elementary occupations,,,,,,,,,,,,
3070,Guy Ford,male,18-08-2010,ford-guy@525c7.hotmail.co.uk,,North West,M18 7TP,Asian / Asian British: Indian,Japan,No qualifications,Full-time student,Other,Other,,,,,,,,,,,,
3071,Mitchell Poole,male,07-01-1944,poole_m1944@fccbf.daly.org,,East,SG8 8EQ,White,United Kingdom,Level 3,Retired,Other,Other,,,,,,,,,,,,
3072,Lisa Barker,female,29-12-1999,b_lisa1999@bea4d.hall.com,,Scotland,DD4 9PL,White,United Kingdom,Level 1,Full-time student,Other,Other,,,,,,,,,,,,
3073,Ellie Conway,female,20-03-1939,elliec3210@fd8af.hotmail.co.uk,,Yorkshire and The Humber,YO16 6RB,White,Italy,Level 4 or above,Retired,Other,Other,,,,,,,,,,,,
3074,Chelsea Rowe,female,26-05-2017,rowechelsea9335@07f54.gmail.com,,Wales,CF44 8BE,White,United Kingdom,No qualifications,Other,Other,Other,,,,,,,,,,,,
3075,Vanessa Howe,female,17-02-1941,howe-vanessa1941@c3640.hotmail.com,,East,MK43 0NX,White,United Kingdom,No qualifications,Retired,Other,Other,,,,,,,,,,,,
3076,Abigail Barnett,female,19-11-1948,barnett.abigail8794@ee97b.clarke-morley.com,,East,SS3 8DR,White,United Kingdom,No qualifications,Retired,Other,Other,,,,,,,,,,,,
3077,Kathleen Macdonald,female,05-07-1957,macdonald_kathleen1957@89263.hotmail.co.uk,,South East,PO11 9TX,White,Poland,Level 1,Retired,Other,Other,,,,,,,,,,,,
3078,Francesca Green,female,12-11-1996,g_francesca96@b422f.yahoo.co.uk,,Yorkshire and The Humber,LS16 5EU,White,United Kingdom,Other qualifications,Homemaker,Other,Other,,,,,,,,,,,,
3079,Ricky Rowe,male,05-08-1976,rowericky9361@83a97.hotmail.co.uk,,South East,BN22 8RW,White,United Kingdom,Level 4 or above,Employee: Part-time,O. Public admin & defence; social security,2. Professional occupations,,,,,,,,,,,,
3080,Robin Butler,male,13-07-1956,rbutler1956@62569.yahoo.com,,West Midlands,CV7 9DL,White,United Kingdom,No qualifications,Retired,Other,Other,,,,,,,,,,,,
3081,Lindsey Roberts,female,26-10-1995,lroberts1995@3dc2e.hotmail.co.uk,,East,AL7 4SZ,Gypsy / Traveller / Irish Traveller,United Kingdom,Level 4 or above,Employee: Full-time,P. Education,2. Professional occupations,,,,,,,,,,,,
3082,Julia Ellis,female,21-03-1939,julia-ellis@bbcaa.turner-dale.biz,,South West,TA24 7QX,White,United Kingdom,Level 4 or above,Retired,Other,Other,,,,,,,,,,,,
3083,Dylan Jennings,male,04-01-1947,jennings_dylan47@d524f.cooper.com,,South West,EX22 6XD,White,United Kingdom,No qualifications,Retired,Other,Other,,,,,,,,,,,,
3084,Claire West,female,28-06-1950,claire_west50@cc6ef.davies.net,,Northern Ireland,BT47 3YG,White,United Kingdom,Other qualifications,Retired,Other,Other,,,,,,,,,,,,
3085,Denis Sharpe,male,15-02-1961,d.sharpe@68356.farmer.com,,Yorkshire and The Humber,WF12 7AW,White,United Kingdom,Level 1,Employee: Full-time,I. Accommod-ation & food services,"1. Managers, directors and senior officials",,,,,,,,,,,,
3086,Gerard Storey,male,22-05-1962,storey.gerard@fd9a5.wheeler.com,,North West,CH43 8SE,White,United Kingdom,No qualifications,Employee: Full-time,C. Manufacturing,9. Elementary occupations,,,,,,,,,,,,
3087,Stuart Williams,male,03-01-2010,stuart.w2010@00ba1.hewitt.org,,Scotland,AB45 1JG,White,United Kingdom,No qualifications,Full-time student,Other,Other,,,,,,,,,,,,
3088,Amelia Davis,female,31-05-1989,a-davis1989@4562e.hill.com,,South West,BS24 8BL,White,Brazil,Level 3,Other,Other,Other,,,,,,,,,,,,
3089,Stewart Martin,male,11-08-1966,stewart.martin@9565b.outlook.com,,South East,SO41 9DG,White,United Kingdom,Level 2,Self-employed,"M. Professional, scientific & technical activities","1. Managers, directors and senior officials",,,,,,,,,,,,
3090,Francesca O'Connor,female,26-06-1967,f-o'connor@ca786.hart.co.uk,,South East,TN1 1YF,White,United Kingdom,Level 4 or above,Other,Other,Other,,,,,,,,,,,,
3091,Geoffrey Kirby,male,13-02-1968,kirbyg68@51b5a.morris.com,,North West,CA9 3HS,White,United Kingdom,No qualifications,Employee: Full-time,RST. Other services,5. Skilled trades occupations,,,,,,,,,,,,
3092,Lee Mellor,male,19-06-1995,lmellor6683@f6004.green.com,,East Midlands,PE8 6UU,White,United Kingdom,Level 3,Employee: Full-time,RST. Other services,4. Administrative and secretarial occupations,,,,,,,,,,,,
3093,Leah Hughes,female,04-12-1938,hughes-leah@a1edf.clayton-turner.com,,East,WD24 6BH,Black / African / Caribbean / Black British,United Kingdom,No qualifications,Retired,Other,Other,,,,,,,,,,,,
3094,Robert Field,male,11-12-1950,fieldr@5253c.jones-campbell.info,,North East,NE28 9AU,White,United Kingdom,Other qualifications,Retired,Other,Other,,,,,,,,,,,,
3095,Victoria Webb,female,10-05-1956,v-webb@14f18.talbot.com,,South West,DT2 7RW,White,United Kingdom,Level 4 or above,Retired,Other,Other,,,,,,,,,,,,
3096,Frederick Hartley,male,15-08-1997,frederickhartley1063@6b356.hotmail.com,,Scotland,FK14 7AS,White,United Kingdom,Level 4 or above,Employee: Full-time,Q. Human health & social work activities,4. Administrative and secretarial occupations,,,,,,,,,,,,
3097,Josh Walton,male,21-09-2007,walton_josh@9a3dc.yahoo.co.uk,,South East,RH19 3BH,White,United Kingdom,No qualifications,Full-time student,Other,Other,,,,,,,,,,,,
3098,Lindsey McKenzie,female,21-11-1970,mckenzie-l1970@61547.wood.com,,North East,NE8 3JW,White,United Kingdom,No qualifications,Homemaker,Other,Other,,,,,,,,,,,,
3099,Benjamin O'Donnell,male,15-09-2005,benjamin.o'donnell@6d011.oconnor.com,,South East,SO30 2RY,White,India,No qualifications,Full-time student,Other,Other,,,,,,,,,,,,
3100,Matthew Carroll,male,20-09-1973,carrollmatthew73@91acb.hotmail.co.uk,,London,HA8 0DD,White,United Kingdom,No qualifications,Employee: Full-time,I. Accommod-ation & food services,4. Administrative and secretarial occupations,,,,,,,,,,,,
3101,Heather Smith,female,17-01-1988,heather.smith9546@78b54.stevens-henderson.org,,North East,NE5 3BL,White,United Kingdom,Other qualifications,Employee: Full-time,O. Public admin & defence; social security,3. Associate professional and technical occupat...,,,,,,,,,,,,
3102,Alice James,female,11-02-2011,jamesalice@3f9a4.hotmail.com,,Scotland,G76 7SE,White,United Kingdom,No qualifications,Full-time student,Other,Other,,,,,,,,,,,,
3103,Julia Ball,female,11-09-1989,jball@0508a.watson.biz,,East Midlands,LE3 2AG,White,United Kingdom,No qualifications,Unemployed,Other,Other,,,,,,,,,,,,
3104,Dale Gibbons,male,04-09-1991,gibbonsdale5072@d2f59.whitehead.com,,South East,RG2 9EN,White,United Kingdom,Level 2,Employee: Full-time,P. Education,7. Sales and customer service occupations,,,,,,,,,,,,
3105,Georgina Owen,female,14-07-1931,owen_georgina@a34e6.gmail.com,,East Midlands,DE7 4FH,Asian / Asian British: Indian,United Kingdom,Level 3,Retired,Other,Other,,,,,,,,,,,,
3106,Marie Macdonald,female,04-12-2005,macdonald.m5314@110c3.gmail.com,,East Midlands,LE5 2EZ,White,United Kingdom,No qualifications,Full-time student,Other,Other,,,,,,,,,,,,
3107,Christopher Reynolds,male,09-06-1973,reynolds.c9667@47524.hopkins.com,,South East,DA11 0LN,White,United Kingdom,Level 1,Other,Other,Other,,,,,,,,,,,,
3108,Chelsea Taylor,female,08-09-1977,chelsea.taylor4992@6ffdc.graham.com,,Yorkshire and The Humber,DN15 9TF,White,United Kingdom,Level 4 or above,Employee: Full-time,P. Education,8. Process plant and machine operatives,,,,,,,,,,,,
3109,Clive Richardson,male,02-11-1970,rclive70@a322b.hewitt.org,,West Midlands,CV47 1NX,White,India,Level 2,Self-employed,"G. Wholesale, retail & repair of motor vehicles",3. Associate professional and technical occupat...,,,,,,,,,,,,
3110,Mohammed Andrews,male,12-10-1940,andrewsmohammed1940@568d1.hotmail.co.uk,,West Midlands,B97 6BP,White,United Kingdom,Level 2,Retired,Other,Other,,,,,,,,,,,,
3111,Philip Holden,male,03-03-2011,hphilip@0cf80.moore.com,,South East,GU11 1YD,White,United Kingdom,No qualifications,Full-time student,Other,Other,,,,,,,,,,,,
3112,Owen Baldwin,male,07-01-2020,baldwin.owen@d8dc9.davis.com,,London,W14 9JG,White,United Kingdom,No qualifications,Other,Other,Other,,,,,,,,,,,,
3113,Beverley Hughes,female,16-09-1984,hughes-b84@443c1.gmail.com,,East Midlands,LE4 0SB,White,United Kingdom,Level 3,Other,Other,Other,,,,,,,,,,,,
3114,Yvonne Watkins,female,18-07-1977,watkins-yvonne77@1e182.hotmail.co.uk,,Yorkshire and The Humber,HU4 6EQ,White,United Kingdom,Other qualifications,Employee: Part-time,"G. Wholesale, retail & repair of motor vehicles",7. Sales and customer service occupations,,,,,,,,,,,,
3115,Paula Thompson,female,29-12-2012,thompson-paula@50e42.outlook.com,,East,MK42 0GJ,White,United Kingdom,No qualifications,Full-time student,Other,Other,,,,,,,,,,,,
3116,Chelsea Hilton,female,30-06-1970,h-chelsea1970@e536d.shaw.net,,London,E2 7JE,White,United Kingdom,Level 3,Employee: Full-time,Q. Human health & social work activities,"1. Managers, directors and senior officials",,,,,,,,,,,,
3117,Beverley Wilson,female,01-10-1991,beverleyw4676@f197c.hotmail.co.uk,,South East,RH12 1LS,White,United Kingdom,No qualifications,Self-employed,Q. Human health & social work activities,9. Elementary occupations,,,,,,,,,,,,
3118,James Brown,male,19-01-1971,brown_james7829@710d9.yahoo.com,,London,W1B 5SE,White,United Kingdom,Level 4 or above,Employee: Full-time,I. Accommod-ation & food services,9. Elementary occupations,,,,,,,,,,,,
3119,Danielle Walsh,female,19-11-1963,walsh-danielle@09454.yahoo.com,,South East,PO30 1QT,White,United Kingdom,Level 1,Employee: Full-time,P. Education,3. Associate professional and technical occupat...,,,,,,,,,,,,
3120,Roy Shaw,male,02-07-2009,royshaw2009@14d01.jones.net,,South West,GL7 7BZ,White,United Kingdom,No qualifications,Full-time student,Other,Other,,,,,,,,,,,,
3121,Stephanie Russell,female,11-10-1946,russell.stephanie@c6e3e.howells.com,,South East,TW19 7DT,White,United Kingdom,Other qualifications,Retired,Other,Other,,,,,,,,,,,,
3122,Georgina Humphreys,female,01-06-2004,h.georgina04@e938f.gmail.com,,London,SE1 8LL,Asian / Asian British: Other Asian,United Kingdom,No qualifications,Full-time student,Other,Other,,,,,,,,,,,,
3123,Lorraine Stevens,female,16-10-1960,stevens_lorraine@272e2.fowler.biz,,London,HA2 9LD,White,United Kingdom,Level 2,Self-employed,Q. Human health & social work activities,8. Process plant and machine operatives,,,,,,,,,,,,
3124,William Payne,male,04-10-1990,paynewilliam90@7095e.yahoo.com,,Scotland,G33 2TG,White,Zimbabwe,Level 3,Other,Other,Other,,,,,,,,,,,,
3125,Robert Rogers,male,15-06-1978,robert-rogers7069@7062c.hotmail.com,,East Midlands,LE67 5ED,White,United Kingdom,Other qualifications,Employee: Full-time,I. Accommod-ation & food services,2. Professional occupations,,,,,,,,,,,,
3126,Mohamed Fraser,male,07-06-1949,frasermohamed9938@e11cb.hotmail.com,,South East,TN31 6QS,White,United Kingdom,Level 2,Retired,Other,Other,,,,,,,,,,,,
3127,Irene Burton,female,13-12-1983,burton-irene83@ad6e7.mistry.info,,Wales,LL34 6BL,Black / African / Caribbean / Black British,United Kingdom,Level 3,Other,Other,Other,,,,,,,,,,,,
3128,Lucy Smith,female,17-09-1985,smith-l@60120.davies-watson.com,,Wales,CF43 3LR,White,United Kingdom,Level 2,Employee: Full-time,J. Information & communication,4. Administrative and secretarial occupations,,,,,,,,,,,,
3129,Benjamin Potter,male,31-07-1986,benjaminp86@64e71.yahoo.co.uk,,South West,GL1 4AA,White,United Kingdom,Level 2,Self-employed,K. Financial & insurance activities,2. Professional occupations,,,,,,,,,,,,
3130,Catherine Foster,female,21-05-1946,f_catherine1946@5578e.haynes.net,,South East,HP12 4NA,White,United Kingdom,Level 3,Retired,Other,Other,,,,,,,,,,,,
3131,Aimee Smith,female,10-01-1978,aimeesmith78@d0d96.wall-singh.org,,South East,OX16 5DQ,White,United Kingdom,Level 2,Employee: Part-time,Q. Human health & social work activities,"6. Caring, leisure and other service occupations",,,,,,,,,,,,
3132,Annette Stone,female,06-08-2014,astone8499@32656.gmail.com,,East,HP2 6DX,White,United Kingdom,No qualifications,Full-time student,Other,Other,,,,,,,,,,,,
3133,Christine Brown,female,30-10-1977,brown-christine1977@43505.craig-nicholson.org,,East,WD3 5JG,Asian / Asian British: Chinese,United Kingdom,No qualifications,Employee: Full-time,N. Administrative & support services,8. Process plant and machine operatives,,,,,,,,,,,,
3134,Jamie Bowen,male,11-02-2018,j.bowen@8ce34.brown.net,,London,EC2P 2GW,Black / African / Caribbean / Black British,United Kingdom,No qualifications,Other,Other,Other,,,,,,,,,,,,
3135,Jason Hudson,male,23-03-1975,j-hudson1975@d550c.gmail.com,,North West,M7 1AE,White,United Kingdom,Level 4 or above,Other,Other,Other,,,,,,,,,,,,
3136,Karl Wright,male,29-06-1979,wright-karl3698@9f6f2.outlook.com,,North West,M44 6ED,White,United Kingdom,Level 2,Employee: Part-time,"M. Professional, scientific & technical activities",2. Professional occupations,,,,,,,,,,,,
3137,Natasha Thomas,female,07-04-2013,tnatasha2013@7feb6.thomas.net,,South West,PL31 2PA,White,United Kingdom,No qualifications,Full-time student,Other,Other,,,,,,,,,,,,
3138,Paula Reid,female,22-07-1950,reid_paula@ac0bc.yahoo.co.uk,,East,HP2 6EQ,White,United Kingdom,Level 4 or above,Retired,Other,Other,,,,,,,,,,,,
3139,Marion Parker,female,20-01-1980,marion_parker4603@86c2a.woods.net,,East,CM18 6UZ,Asian / Asian British: Chinese,United Kingdom,Level 4 or above,Employee: Full-time,"M. Professional, scientific & technical activities",9. Elementary occupations,,,,,,,,,,,,
3140,Pamela Thomas,female,02-05-2012,pamela.t@086b9.watson-doherty.biz,,South West,EX8 2EW,White,United Kingdom,No qualifications,Full-time student,Other,Other,,,,,,,,,,,,
3141,Josh Slater,male,04-08-1956,josh_s@a006f.gordon-thomas.biz,,Northern Ireland,BT80 8TQ,White,United Kingdom,Other qualifications,Retired,Other,Other,,,,,,,,,,,,
3142,Abbie Steele,female,03-03-1960,steeleabbie@f03e7.franklin-hill.net,,Yorkshire and The Humber,S73 0XW,White,United Kingdom,Other qualifications,Homemaker,Other,Other,,,,,,,,,,,,
3143,Mitchell Osborne,male,07-08-1953,m.osborne@a8a99.hotmail.com,,East,CM23 3XR,White,United Kingdom,Level 1,Retired,Other,Other,,,,,,,,,,,,
3144,Ashleigh Armstrong,female,22-02-2006,armstrong-a2006@98911.hotmail.com,,Yorkshire and The Humber,LS12 5QL,White,Turkey,No qualifications,Full-time student,Other,Other,,,,,,,,,,,,
3145,Joshua Stevenson,male,12-10-1956,stevenson_joshua@97413.herbert.com,,London,SM5 3PL,White,United Kingdom,Level 4 or above,Retired,Other,Other,,,,,,,,,,,,
3146,Linda Oliver,female,27-08-1980,oliver.linda7829@e5658.yahoo.com,,East,SG1 4LE,White,United Kingdom,Other qualifications,Employee: Full-time,O. Public admin & defence; social security,9. Elementary occupations,,,,,,,,,,,,
3147,Lauren Gray,female,26-06-1968,laurengray1968@2df77.hotmail.com,,North East,NE13 7ES,White,United Kingdom,Other qualifications,Self-employed,Q. Human health & social work activities,"1. Managers, directors and senior officials",,,,,,,,,,,,
3148,Alexandra Jackson,female,24-04-1948,jackson-a1948@a3e44.thomas.com,,London,SW11 1AT,White,Germany,Level 3,Retired,Other,Other,,,,,,,,,,,,
3149,Barbara Johnson,female,04-05-2000,johnson.barbara4030@7978b.taylor.co.uk,,East Midlands,LE2 9GG,White,United Kingdom,Level 1,Full-time student,Other,Other,,,,,,,,,,,,
3150,Shirley Richards,female,16-01-1991,richardss91@08421.gmail.com,,Yorkshire and The Humber,YO30 7DA,White,United Kingdom,Level 3,Employee: Full-time,Q. Human health & social work activities,7. Sales and customer service occupations,,,,,,,,,,,,
3151,Mark Evans,male,28-12-1992,m_evans1992@8d8ad.smart.net,,West Midlands,CV2 1PS,White,United Kingdom,Level 2,Employee: Part-time,C. Manufacturing,3. Associate professional and technical occupat...,,,,,,,,,,,,
3152,Jayne Brown,female,12-08-1946,j.brown9877@85907.black.com,,Scotland,G3 8JZ,White,United Kingdom,Level 3,Retired,Other,Other,,,,,,,,,,,,
3153,Charlie Adams,male,03-04-1945,cadams@89ac1.gibbs.net,,South West,BS14 0JU,White,United Kingdom,No qualifications,Retired,Other,Other,,,,,,,,,,,,
3154,Marc Hunter,male,09-11-1948,march48@71d6a.yahoo.com,,Scotland,G20 0SP,White,United Kingdom,No qualifications,Retired,Other,Other,,,,,,,,,,,,
3155,Lewis Forster,male,19-10-1970,forster-lewis@18406.hotmail.co.uk,,West Midlands,B70 9EZ,White,Bulgaria,Level 3,Homemaker,Other,Other,,,,,,,,,,,,
3156,Tracey Collier,female,05-10-1968,collier-tracey68@eb351.hotmail.com,,East,SS13 2DQ,White,United Kingdom,Level 2,Employee: Full-time,RST. Other services,"6. Caring, leisure and other service occupations",,,,,,,,,,,,
